question,model_answer
Is a Shell an anatomical part of a cherry?,"No. 

The shell is the hard outer covering of a nut, not a cherry."
Is a Peel an anatomical part of a cherry?,"No. 

A peel is the outer skin of a fruit. Cherries have a skin, not a peel."
Is a Stem an anatomical part of a cherry?,"No. 

A stem is a part of the plant, but the cherry itself is the fruit."
Is a Core an anatomical part of a citron?,"No. 

Citrons are citrus fruits and do not have cores like apples or pears."
Is a Shell an anatomical part of a citron?,"No. 

A shell is a hard outer covering, like on a turtle or nut. Citrons have a rind, which is a peel."
Is a Peel an anatomical part of a citron?,Yes.
"What is the edibility of a citron's Peel - can it be eaten, should it be avoided or must it be avoided?",Citron peel is edible but often avoided due to its bitterness.
Is a Stem an anatomical part of a citron?,Yes.
"When cutting a citron, what tool should be used?",A sharp knife.
"When peeling a citron, what tool should be used?",A vegetable peeler.
Is a Core an anatomical part of a coconut?,"No. 

The ""core"" of a coconut is the hard, woody shell surrounding the edible flesh."
Is a Shell an anatomical part of a coconut?,Yes.
"What is the edibility of a coconut's Shell - can it be eaten, should it be avoided or must it be avoided?",Coconut shells are **not edible** and should be avoided.
Is a Peel an anatomical part of a coconut?,"No. 

The peel is the outer husk of the coconut, not an anatomical part."
Is a Stem an anatomical part of a coconut?,"No. 

A coconut is a fruit, specifically a drupe. Stems are part of the plant's structure."
"When cutting a coconut, what tool should be used?",A machete or a cleaver.
"When peeling a coconut, what tool should be used?",A sharp chef's knife.
Is a Core an anatomical part of a cucumber?,No.
Is a Shell an anatomical part of a cucumber?,"No. 

A shell is a hard outer covering, like on a turtle or egg. Cucumbers have a skin."
Is a Peel an anatomical part of a cucumber?,Yes.
"What is the edibility of a cucumber's Peel - can it be eaten, should it be avoided or must it be avoided?",Cucumber peel is edible and can be eaten.
Is a Stem an anatomical part of a cucumber?,"No. 

Cucumbers have vines, not stems."
"What is the edibility of a cucumber's Stem - can it be eaten, should it be avoided or must it be avoided?","Edible, but often bitter."
"When cutting a cucumber, what tool should be used?",A knife.
"When peeling a cucumber, what tool should be used?",A vegetable peeler.
Is a Core an anatomical part of a kiwi?,"No. 

A core is a part of a fruit, not an animal."
Is a Shell an anatomical part of a kiwi?,"No. A shell is part of an egg, not a bird."
Is a Peel an anatomical part of a kiwi?,"No. 

The peel of a kiwi is its skin, not a distinct anatomical part."
"What is the edibility of a kiwi's Peel - can it be eaten, should it be avoided or must it be avoided?",Kiwi peel is edible but often avoided due to its fuzzy texture and slightly bitter taste.
Is a Stem an anatomical part of a kiwi?,"No. 

Stems are part of plants, and kiwis are fruits."
"When cutting a kiwi, what tool should be used?",A sharp knife.
"When peeling a kiwi, what tool should be used?",A spoon.
Is a Core an anatomical part of a kumquat?,"No. 

Kumquats have seeds, not a core like apples or pears."
Is a Shell an anatomical part of a kumquat?,Yes.
Is a Peel an anatomical part of a kumquat?,Yes.
"What is the edibility of a kumquat's Peel - can it be eaten, should it be avoided or must it be avoided?",Kumquat peels are edible and delicious!
Is a Stem an anatomical part of a kumquat?,Yes.
"When cutting a kumquat, what tool should be used?",A sharp knife.
"When peeling a kumquat, what tool should be used?",Your fingers.
Is a Core an anatomical part of a lemon?,No.
Is a Shell an anatomical part of a lemon?,Yes.
Is a Peel an anatomical part of a lemon?,Yes.
"What is the edibility of a lemon's Peel - can it be eaten, should it be avoided or must it be avoided?","Lemon peel is edible, but often avoided due to its bitterness."
Is a Stem an anatomical part of a lemon?,"No. 

Lemons have stems, but the stem itself is not an anatomical part of the lemon fruit."
"When cutting a lemon, what tool should be used?",A sharp knife.
"When peeling a lemon, what tool should be used?",A vegetable peeler.
Is a Core an anatomical part of a lime?,"No. 

Cores are found in pome fruits like apples and pears."
Is a Shell an anatomical part of a lime?,Yes.
Is a Peel an anatomical part of a lime?,Yes.
"What is the edibility of a lime's Peel - can it be eaten, should it be avoided or must it be avoided?",Lime peel is edible but often avoided due to its bitterness.
Is a Stem an anatomical part of a lime?,"No. 

Stems are above-ground structures. Limes grow on trees."
"When cutting a lime, what tool should be used?",A sharp knife.
"When peeling a lime, what tool should be used?",A vegetable peeler.
Is a Core an anatomical part of an olive?,"No. 

A core is found in fruits like apples and pears, not olives. Olives have a pit."
"What is the edibility of an olive's Core - can it be eaten, should it be avoided or must it be avoided?","It can be eaten, but is very bitter and hard. Most people avoid it."
Is a Shell an anatomical part of an olive?,"No. 

A shell is a hard outer covering, olives have pits."
Is a Peel an anatomical part of an olive?,"No. 

A peel is the outer skin of a fruit or vegetable. Olives have a skin, but it's not called a peel."
Is a Stem an anatomical part of an olive?,"No. Olives have stems, but the stem is not part of the olive fruit itself."
"When cutting an olive, what tool should be used?",A sharp knife.
Is a Core an anatomical part of an orange?,"No. 

A core is a central part of some fruits like apples, but not oranges."
Is a Shell an anatomical part of an orange?,Yes.
Is a Peel an anatomical part of an orange?,Yes.
"What is the edibility of an orange's Peel - can it be eaten, should it be avoided or must it be avoided?","Orange peel is edible, but often bitter. 

You can eat it, but many people prefer to avoid it."
"What is the edibility of an orange's Peel - can it be eaten, should it be avoided or must it be avoided?","Orange peel is edible, but often bitter. 

You can eat it, but many people prefer to avoid it."
Is a Stem an anatomical part of an orange?,"No. 

Stems are above-ground structures. Oranges grow on branches, which are part of the tree's stem."
"When cutting an orange, what tool should be used?",A knife.
"When cutting an orange, what tool should be used?",A knife.
"When peeling an orange, what tool should be used?",A knife or your fingers.
"When peeling an orange, what tool should be used?",A knife or your fingers.
Is a Core an anatomical part of a peach?,"No. 

A core is the central, seed-containing part of a fruit like an apple or pear. Peaches have a pit."
"What is the edibility of a peach's Core - can it be eaten, should it be avoided or must it be avoided?","Peach cores **should be avoided**. 

While not poisonous, they are very hard to digest and contain a compound that can be harmful in large amounts."
Is a Shell an anatomical part of a peach?,"No. 

A shell is the hard outer covering of a nut, not a fruit like a peach."
Is a Peel an anatomical part of a peach?,Yes.
Is a Stem an anatomical part of a peach?,"No. 

A stem is a part of the peach *tree*, not the fruit itself."
"When cutting a peach, what tool should be used?",A sharp knife.
Is a Core an anatomical part of a pepper?,No.
Is a Shell an anatomical part of a pepper?,"No. 

A shell is a hard outer covering, like on a turtle or nut. Peppers have a skin."
Is a Peel an anatomical part of a pepper?,Yes.
Is a Stem an anatomical part of a pepper?,Yes.
"What is the edibility of a pepper's Stem - can it be eaten, should it be avoided or must it be avoided?","Pepper stems are edible but often tough and bitter. You can eat them, but most people choose to remove them."
"When cutting a pepper, what tool should be used?",A sharp knife.
Is a Core an anatomical part of a pineapple?,"No. 

The ""core"" of a pineapple is a tough, fibrous center, not an anatomical part like a stem or root."
"What is the edibility of a pineapple's Core - can it be eaten, should it be avoided or must it be avoided?","It can be eaten, but is tough and fibrous."
Is a Shell an anatomical part of a pineapple?,Yes.
Is a Peel an anatomical part of a pineapple?,Yes.
"What is the edibility of a pineapple's Peel - can it be eaten, should it be avoided or must it be avoided?","While technically edible, pineapple peel is tough, fibrous, and not very palatable. It's best avoided."
Is a Stem an anatomical part of a pineapple?,"No. 

Pineapples are fruits, not plants with stems."
"When cutting a pineapple, what tool should be used?",A sharp chef's knife.
"When peeling a pineapple, what tool should be used?",A sharp knife.
Is a Core an anatomical part of a pumpkin?,"No. 

Pumpkins have seeds, not cores."
Is a Shell an anatomical part of a pumpkin?,Yes.
Is a Peel an anatomical part of a pumpkin?,Yes.
"What is the edibility of a pumpkin's Peel - can it be eaten, should it be avoided or must it be avoided?","Pumpkin peel is edible but often tough and bitter. You *can* eat it, but most people prefer to remove it."
Is a Stem an anatomical part of a pumpkin?,Yes.
"When cutting a pumpkin, what tool should be used?",A sharp knife.
"When peeling a pumpkin, what tool should be used?",A sharp chef's knife or a pumpkin carving knife.
Is a Core an anatomical part of a strawberry?,"No. 

The ""core"" of a strawberry is actually the receptacle, the white, fleshy part that the seeds are embedded in."
Is a Shell an anatomical part of a strawberry?,"No. 

The ""shell"" of a strawberry is actually the receptacle, the fleshy part that the seeds are embedded in."
Is a Peel an anatomical part of a strawberry?,"No. 

The peel is the outer skin of a fruit, and strawberries have a thin, fleshy outer layer, not a distinct peel."
Is a Stem an anatomical part of a strawberry?,"No. 

Strawberries are aggregate fruits, meaning they develop from multiple ovaries of a single flower. The ""stem"" is actually the receptacle, the fleshy part that holds the individual fruits (achenes)."
"What is the edibility of a strawberry's Stem - can it be eaten, should it be avoided or must it be avoided?","Edible, but often tough and unpleasant."
"When cutting a strawberry, what tool should be used?",A knife.
Is a Core an anatomical part of a squash?,"No. 

A core is a culinary term, not an anatomical one."
Is a Shell an anatomical part of a squash?,Yes.
Is a Peel an anatomical part of a squash?,Yes.
"What is the edibility of a squash's Peel - can it be eaten, should it be avoided or must it be avoided?","Most squash peels are edible, but often tough and bitter. You can eat them, but many people prefer to peel them."
Is a Stem an anatomical part of a squash?,Yes.
"When cutting a squash, what tool should be used?",A sharp chef's knife.
"When peeling a squash, what tool should be used?",A vegetable peeler.
Is a Core an anatomical part of a tomato?,No.
Is a Shell an anatomical part of a tomato?,"No. 

A shell is a hard outer covering, like on a turtle or egg. Tomatoes have a skin."
Is a Peel an anatomical part of a tomato?,"No. 

The peel is the outer skin of the tomato, not an internal anatomical part."
"What is the edibility of a tomato's Peel - can it be eaten, should it be avoided or must it be avoided?","Tomato peels are edible, but some people prefer to remove them due to texture."
Is a Stem an anatomical part of a tomato?,Yes.
"What is the edibility of a tomato's Stem - can it be eaten, should it be avoided or must it be avoided?","Tomato stems are **edible but generally avoided**. They are tough and fibrous, not very palatable."
"When cutting a tomato, what tool should be used?",A knife.
"When quartering a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",In the middle.
"When quartering a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Halving.
"When quartering a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When quartering a specific fruit or vegetable, what is form of the input to perform the action on?",Whole.
"When quartering a specific fruit or vegetable, what is form and amount of the resulting pieces?",Quartering results in **four** pieces of roughly **equal size and shape**.
"When julienning a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When julienning a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Trimming.
"When julienning a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When julienning a specific fruit or vegetable, what is form of the input to perform the action on?","A whole, peeled fruit or vegetable."
"When julienning a specific fruit or vegetable, what is form and amount of the resulting pieces?","Julienned pieces are thin, matchstick-like strips."
"When halving a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",In the middle.
"When halving a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",Exactly one.
"When halving a specific fruit or vegetable, what is form of the input to perform the action on?",The input is the **whole fruit or vegetable**.
"When halving a specific fruit or vegetable, what is form and amount of the resulting pieces?",Two halves.
"When dicing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When dicing a specific fruit or vegetable, what other cutting task - if any - should be executed before?","Often, **coring** or **seeding** is necessary before dicing."
"When dicing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When dicing a specific fruit or vegetable, what is form of the input to perform the action on?","The input is the **whole, un-diced fruit or vegetable**."
"When dicing a specific fruit or vegetable, what is form and amount of the resulting pieces?","Dicing produces small, roughly cube-shaped pieces of uniform size."
"When cutting a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When cutting a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When cutting a specific fruit or vegetable, what is form of the input to perform the action on?","The input is the **raw, whole fruit or vegetable**."
"When cutting a specific fruit or vegetable, what is form and amount of the resulting pieces?","That depends entirely on the fruit or vegetable and the desired outcome! 

There's no single answer. 🍓🔪🥕"
"When slicing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When slicing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When slicing a specific fruit or vegetable, what is form of the input to perform the action on?",The input is the **whole fruit or vegetable**.
"When slicing a specific fruit or vegetable, what is form and amount of the resulting pieces?","It depends on the slicing technique used (dice, julienne, etc.) and the desired size."
"When snipping a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When snipping a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When snipping a specific fruit or vegetable, what is form of the input to perform the action on?",The input is the **physical object** of the fruit or vegetable.
"When snipping a specific fruit or vegetable, what is form and amount of the resulting pieces?","It depends on the desired outcome and the tool used. 

There's no single answer for all fruits and vegetables."
"When slivering a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When slivering a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When slivering a specific fruit or vegetable, what is form of the input to perform the action on?","Whole, unpeeled fruit or vegetable."
"When slivering a specific fruit or vegetable, what is form and amount of the resulting pieces?","Thin, long, matchstick-like pieces."
"When sawing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When sawing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When sawing a specific fruit or vegetable, what is form of the input to perform the action on?","The input is the **raw, whole fruit or vegetable**."
"When sawing a specific fruit or vegetable, what is form and amount of the resulting pieces?",It depends on the desired outcome and the cutting technique used.
"When paring a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When paring a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When paring a specific fruit or vegetable, what is form of the input to perform the action on?","The input is the **whole, unpeeled fruit or vegetable**."
"When paring a specific fruit or vegetable, what is form and amount of the resulting pieces?","Paring aims for **uniform, thin pieces** with **minimal waste**. 

The exact form and amount depend on the fruit/vegetable and the intended use."
"When carving a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When carving a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When carving a specific fruit or vegetable, what is form of the input to perform the action on?","The raw, whole fruit or vegetable."
"When carving a specific fruit or vegetable, what is form and amount of the resulting pieces?",It depends entirely on the carving technique and desired outcome.
"When mincing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When mincing a specific fruit or vegetable, what other cutting task - if any - should be executed before?","**Slicing** 

(to create manageable pieces for mincing)"
"When mincing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When mincing a specific fruit or vegetable, what is form of the input to perform the action on?","Whole, peeled fruit or vegetable."
"When mincing a specific fruit or vegetable, what is form and amount of the resulting pieces?","Mincing produces very fine, irregular pieces."
"When cubing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",In the middle.
"When cubing a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Halving or quartering.
"When cubing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When cubing a specific fruit or vegetable, what is form of the input to perform the action on?",The input is a **whole** fruit or vegetable.
"When cubing a specific fruit or vegetable, what is form and amount of the resulting pieces?","Cubing results in **uniform, square-shaped pieces**. The amount depends on the size of the original fruit or vegetable and the desired cube size."
"When chopping a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",At the end.
"When chopping a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Washing.
"When chopping a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When chopping a specific fruit or vegetable, what is form of the input to perform the action on?","The input is the **whole, unchopped fruit or vegetable**."
"When chopping a specific fruit or vegetable, what is form and amount of the resulting pieces?","It depends on the recipe or desired outcome. 

There's no single answer for all fruits and vegetables."
"When dividing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",In the middle.
"When dividing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",More than one.
"When dividing a specific fruit or vegetable, what is form of the input to perform the action on?",The whole fruit or vegetable.
"When dividing a specific fruit or vegetable, what is form and amount of the resulting pieces?","It depends on the fruit/vegetable and how you divide it. 

There's no single answer."
