Question,Answer
Is a Stem an anatomical part of a cucumber?,Yes
"When cutting a cucumber, what tool should be used?",Knife
"When peeling a cucumber, what tool should be used?",Peeler
Is a Core an anatomical part of a kiwi?,No
Is a Shell an anatomical part of a kiwi?,No
Is a Peel an anatomical part of a kiwi?,Yes
Is a Stem an anatomical part of a kiwi?,No
"When cutting a kiwi, what tool should be used?",Knife
"When peeling a kiwi, what tool should be used?",Knife
Is a Core an anatomical part of a kumquat?,No
Is a Shell an anatomical part of a kumquat?,No
Is a Peel an anatomical part of a kumquat?,Yes
Is a Stem an anatomical part of a kumquat?,No
"When cutting a kumquat, what tool should be used?",Knife
"When peeling a kumquat, what tool should be used?",Hand
Is a Core an anatomical part of a lemon?,No
Is a Shell an anatomical part of a lemon?,No
Is a Peel an anatomical part of a lemon?,Yes
Is a Stem an anatomical part of a lemon?,No
"When cutting a lemon, what tool should be used?",Knife
"When peeling a lemon, what tool should be used?",Hand
Is a Core an anatomical part of a lime?,No
Is a Shell an anatomical part of a lime?,No
Is a Peel an anatomical part of a lime?,Yes
Is a Stem an anatomical part of a lime?,No
"When cutting a lime, what tool should be used?",Knife
"When peeling a lime, what tool should be used?",Hand
Is a Core an anatomical part of an olive?,Yes
Is a Shell an anatomical part of an olive?,No
Is a Peel an anatomical part of an olive?,No
Is a Stem an anatomical part of an olive?,No
"When cutting an olive, what tool should be used?",Knife
Is a Core an anatomical part of an orange?,No
Is a Shell an anatomical part of an orange?,No
Is a Peel an anatomical part of an orange?,Yes
Is a Stem an anatomical part of an orange?,No
"When cutting an orange, what tool should be used?",Knife
"When cutting an orange, what tool should be used?",Knife
"When peeling an orange, what tool should be used?",Hand
"When peeling an orange, what tool should be used?",Hand
Is a Core an anatomical part of a peach?,Yes
Is a Shell an anatomical part of a peach?,No
Is a Peel an anatomical part of a peach?,No
Is a Stem an anatomical part of a peach?,No
"When cutting a peach, what tool should be used?",Knife
Is a Core an anatomical part of a pepper?,No
Is a Shell an anatomical part of a pepper?,No
Is a Peel an anatomical part of a pepper?,No
Is a Stem an anatomical part of a pepper?,Yes
"When cutting a pepper, what tool should be used?",Knife
Is a Core an anatomical part of a pineapple?,Yes
Is a Shell an anatomical part of a pineapple?,No
Is a Peel an anatomical part of a pineapple?,Yes
Is a Stem an anatomical part of a pineapple?,No
"When cutting a pineapple, what tool should be used?",Knife
"When peeling a pineapple, what tool should be used?",Knife
Is a Core an anatomical part of a pumpkin?,No
Is a Shell an anatomical part of a pumpkin?,No
Is a Peel an anatomical part of a pumpkin?,Yes
Is a Stem an anatomical part of a pumpkin?,No
"When cutting a pumpkin, what tool should be used?",Knife
"When peeling a pumpkin, what tool should be used?",Knife
Is a Core an anatomical part of a strawberry?,No
Is a Shell an anatomical part of a strawberry?,No
Is a Peel an anatomical part of a strawberry?,No
Is a Stem an anatomical part of a strawberry?,Yes
"When cutting a strawberry, what tool should be used?",Knife
Is a Core an anatomical part of a squash?,No
Is a Shell an anatomical part of a squash?,No
Is a Peel an anatomical part of a squash?,Yes
Is a Stem an anatomical part of a squash?,No
"When cutting a squash, what tool should be used?",Knife
"When peeling a squash, what tool should be used?",Knife
Is a Core an anatomical part of a tomato?,No
Is a Shell an anatomical part of a tomato?,No
Is a Peel an anatomical part of a tomato?,Yes
Is a Stem an anatomical part of a tomato?,Yes
"When cutting a tomato, what tool should be used?",Knife
"When quartering a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",Middle
"When quartering a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Halving
"When quartering a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1
"When quartering a specific fruit or vegetable, what is form of the input to perform the action on?",Halve
"When quartering a specific fruit or vegetable, what is form and amount of the resulting pieces?",2 Quarter
"When julienning a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When julienning a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Slicing
"When julienning a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When julienning a specific fruit or vegetable, what is form of the input to perform the action on?",Slice
"When julienning a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Stripe and 1 Slice
"When halving a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",Middle
"When halving a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1
"When halving a specific fruit or vegetable, what is form of the input to perform the action on?",Whole
"When halving a specific fruit or vegetable, what is form and amount of the resulting pieces?",2 Halve
"When dicing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When dicing a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Julienning
"When dicing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When dicing a specific fruit or vegetable, what is form of the input to perform the action on?",Stripe
"When dicing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Stripe and 1 Cube
"When cutting a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When cutting a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1
"When cutting a specific fruit or vegetable, what is form of the input to perform the action on?",FoodPart or Whole
"When cutting a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice
"When slicing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When slicing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When slicing a specific fruit or vegetable, what is form of the input to perform the action on?",FoodPart or Whole
"When slicing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice
"When snipping a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When snipping a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When snipping a specific fruit or vegetable, what is form of the input to perform the action on?",FoodPart or Whole
"When snipping a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice
"When slivering a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When slivering a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When slivering a specific fruit or vegetable, what is form of the input to perform the action on?",FoodPart or Whole
"When slivering a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice
"When sawing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When sawing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1
"When sawing a specific fruit or vegetable, what is form of the input to perform the action on?",FoodPart or Whole
"When sawing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice
"When paring a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When paring a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1
"When paring a specific fruit or vegetable, what is form of the input to perform the action on?",FoodPart or Whole
"When paring a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice
"When carving a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When carving a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1
"When carving a specific fruit or vegetable, what is form of the input to perform the action on?",FoodPart or Whole
"When carving a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice
"When mincing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When mincing a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Julienning
"When mincing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When mincing a specific fruit or vegetable, what is form of the input to perform the action on?",Stripe
"When mincing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Stripe and 1 Cube
"When cubing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When cubing a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Julienning
"When cubing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When cubing a specific fruit or vegetable, what is form of the input to perform the action on?",Stripe
"When cubing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Stripe and 1 Cube
"When chopping a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End
"When chopping a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Julienning
"When chopping a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1
"When chopping a specific fruit or vegetable, what is form of the input to perform the action on?",Stripe
"When chopping a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Stripe and 1 Cube
"When dividing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",Middle
"When dividing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1
"When dividing a specific fruit or vegetable, what is form of the input to perform the action on?",Whole
"When dividing a specific fruit or vegetable, what is form and amount of the resulting pieces?",2 Halve
